"stop_id","stop_name","stop_desc","stop_lon","stop_lat"
"91004","30th St Lower Level","Decently Shady   ",-75.1883333,39.9591667
"90517","Haverford","Not Shady   ",-75.2997222,40.0138889
"90220","Wissahickon","Decently Shady   ",-75.2102778,40.0166667
"90704","Croydon","Not Shady   ",-74.9066667,40.0936111
"90807","Tulpehocken","Not Shady   ",-75.1869444,40.0352778
"90001","Cynwyd","Not Shady   ",-75.2316667,40.0066667
"90219","East Falls","Not Shady   ",-75.1919444,40.0113889
"90009","Wayne Junction","Not Shady , Neighborhood Advisory Committee within a mileEnergy Bill Help  within half a mile",-75.16,40.0222222
"90813","Cheltenham","Not Shady   ",-75.0927778,40.0580556
"90303","Moylan-Rose Valley","Not Shady   ",-75.3886111,39.9061111
"90406","Penn Medicine Station","Kind of Shady   ",-75.1902778,39.9480556
"90307","Secane","Not Shady   ",-75.3097222,39.9158333
"90809","Queen Lane","Not Shady   ",-75.1780556,40.0233333
"90212","Norwood","Not Shady   ",-75.3016667,39.8916667
"90532","Fortuna","Not Shady   ",-75.2661111,40.2594444
"90714","Washington Lane","Not Shady   ",-75.1713889,40.0508333
"90702","Levittown-Tullytown","Not Shady   ",-74.8169444,40.1402778
"90228","Norristown - Elm Street","Not Shady   ",-75.345,40.1208333
"91004","30th St Lower Level","Decently Shady , Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1883333,39.9591667
"90526","Ambler","Not Shady   ",-75.2247222,40.1536111
"90526","Ambler","Not Shady   ",-75.2247222,40.1536111
"90316","Rydal","Not Shady   ",-75.1105556,40.1075
"90715","Stenton","Not Shady   ",-75.1786111,40.0605556
"90212","Norwood","Not Shady   ",-75.3016667,39.8916667
"90518","Ardmore","Not Shady   ",-75.2902778,40.0083333
"90408","Melrose Park","Not Shady   ",-75.1291667,40.0594444
"90806","Upsal","Not Shady  Energy Bill Help within a mile",-75.19,40.0425
"90519","Wynnewood","Not Shady   ",-75.2725,40.0027778
"90523","North Hills","Not Shady   ",-75.1694444,40.1119444
"90808","Chelten Avenue","Kind of Shady  Energy Bill Help  within half a mile",-75.1808333,40.03
"90713","Germantown","Not Shady  Energy Bill Help  within half a mile",-75.1716667,40.0375
"90215","Sharon Hill","Not Shady   ",-75.2708333,39.9044444
"90406","Penn Medicine Station","Not Shady   ",-75.1902778,39.9480556
"90218","Allegheny","Not Shady   ",-75.1647222,40.0036111
"90528","Gwynedd Valley","Not Shady   ",-75.2569444,40.1847222
"90519","Wynnewood","Not Shady   ",-75.2725,40.0027778
"90515","Rosemont","Not Shady   ",-75.3266667,40.0277778
"90208","Eddystone","Not Shady   ",-75.3422222,39.8572222
"90222","Ivy Ridge","Not Shady   ",-75.2355556,40.0341667
"90411","Glenside","Not Shady   ",-75.1536111,40.1013889
"90226","Norristown T.C.","Not Shady   ",-75.3441667,40.1127778
"90536","New Britain","Not Shady   ",-75.1797222,40.2975
"90810","North Philadelphia","Not Shady   ",-75.1563889,39.9977778
"90007","Temple University","Not Shady   ",-75.1494444,39.9813889
"90311","Lansdowne","Not Shady   ",-75.2708333,39.9375
"90402","Airport Terminal C D","Not Shady   ",-75.24,39.8780556
"90522","Overbrook","Not Shady   ",-75.2494444,39.9894444
"90703","Bristol","Not Shady   ",-74.8547222,40.1047222
"90409","Elkins Park","Not Shady   ",-75.1277778,40.0713889
"90716","Sedgwick","Not Shady   ",-75.1852778,40.0627778
"90807","Tulpehocken","Not Shady  Energy Bill Help within a mile",-75.1869444,40.0352778
"90413","Roslyn","Not Shady   ",-75.1341667,40.1208333
"90225","Conshohocken","Not Shady   ",-75.3086111,40.0722222
"90206","Highland Avenue","Not Shady   ",-75.3933333,39.8336111
"90506","Paoli","Not Shady   ",-75.4827778,40.0430556
"90527","Penllyn","Not Shady   ",-75.2441667,40.17
"90521","Merion","Not Shady   ",-75.2513889,39.9986111
"90525","Fort Washington","Not Shady   ",-75.2122222,40.1358333
"90209","Crum Lynne","Not Shady   ",-75.3311111,39.8719444
"90812","Lawndale","Not Shady   ",-75.1030556,40.0513889
"90524","Oreland","Not Shady   ",-75.1838889,40.1183333
"90511","Wayne","Not Shady   ",-75.3866667,40.0458333
"90217","Darby","Not Shady   ",-75.2544444,39.9130556
"90316","Rydal","Not Shady   ",-75.1105556,40.1075
"90501","Thorndale","Not Shady   ",-75.7636111,39.9927778
"90712","Wister","Not Shady  Energy Bill Help within a mile",-75.1611111,40.0361111
"90323","Neshaminy","Not Shady   ",-74.9616667,40.1469444
"90008","North Broad","Not Shady  Energy Bill Help within a mile",-75.1538889,39.9922222
"90213","Glenolden","Not Shady   ",-75.29,39.8963889
"90702","Levittown-Tullytown","Not Shady   ",-74.8169444,40.1402778
"90413","Roslyn","Not Shady   ",-75.1341667,40.1208333
"90801","Chestnut Hill West","Not Shady   ",-75.2083333,40.0763889
"90706","Cornwells Heights","Not Shady   ",-74.9522222,40.0716667
"90514","Villanova","Not Shady   ",-75.3416667,40.0383333
"90520","Narberth","Not Shady   ",-75.2613889,40.0047222
"90811","Olney","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1227778,40.0333333
"90308","Primos","Not Shady   ",-75.2983333,39.9216667
"91004","30th St Lower Level","Not Shady   ",-75.1883333,39.9591667
"90309","Clifton-Aldan","Not Shady   ",-75.2902778,39.9266667
"90007","Temple University","Not Shady   ",-75.1494444,39.9813889
"90527","Penllyn","Not Shady   ",-75.2441667,40.17
"90539","9TH Street Lansdale","Not Shady   ",-75.2791667,40.25
"90513","Radnor","Not Shady   ",-75.3588889,40.0447222
"90808","Chelten Avenue","Kind of Shady  Energy Bill Help within a mile",-75.1808333,40.03
"90515","Rosemont","Not Shady   ",-75.3266667,40.0277778
"90810","North Philadelphia","Not Shady   ",-75.1563889,39.9977778
"90718","Wyndmoor","Decently Shady   ",-75.1966667,40.0733333
"90305","Swarthmore","Not Shady   ",-75.3508333,39.9022222
"90315","Noble","Not Shady   ",-75.1241667,40.1044444
"90807","Tulpehocken","Not Shady   ",-75.1869444,40.0352778
"90524","Oreland","Not Shady   ",-75.1838889,40.1183333
"90713","Germantown","Not Shady  Energy Bill Help within half a mile",-75.1716667,40.0375
"90310","Gladstone","Not Shady   ",-75.2822222,39.9327778
"90530","Pennbrook","Not Shady   ",-75.2816667,40.2302778
"90803","St. Martins","Kind of Shady   ",-75.2044444,40.0658333
"90006","Jefferson Station","Not Shady   ",-75.1580556,39.9525
"90530","Pennbrook","Not Shady   ",-75.2816667,40.2302778
"90510","Strafford","Not Shady   ",-75.4030556,40.0494444
"90711","North Philadelphia Amtrak","Not Shady   ",-75.155,39.9972222
"90511","Wayne","Not Shady   ",-75.3866667,40.0458333
"90505","Malvern","Not Shady   ",-75.5155556,40.0363889
"90201","Newark","Not Shady   ",-75.7527778,39.6705556
"90317","Meadowbrook","Not Shady   ",-75.0925,40.1113889
"90809","Queen Lane","Not Shady   ",-75.1780556,40.0233333
"90403","Airport Terminal B","Not Shady   ",-75.2413889,39.8772222
"90719","Gravers","Not Shady   ",-75.2016667,40.0775
"90508","Berwyn","Not Shady   ",-75.4422222,40.0480556
"90401","Airport Terminal E F","Not Shady   ",-75.2397222,39.8794444
"90304","Wallingford","Not Shady   ",-75.3719444,39.9036111
"90005","Suburban Station","Not Shady   ",-75.1677778,39.9538889
"90812","Lawndale","Kind of Shady   ",-75.1030556,40.0513889
