the_geom,cartodb_id,id,geographic_area_name,total
,120,1500000US421010032005,"Block Group 5, Census Tract 32, Philadelphia County, Pennsylvania",610
,121,1500000US421010032006,"Block Group 6, Census Tract 32, Philadelphia County, Pennsylvania",908
,122,1500000US421010033001,"Block Group 1, Census Tract 33, Philadelphia County, Pennsylvania",1797
,123,1500000US421010033002,"Block Group 2, Census Tract 33, Philadelphia County, Pennsylvania",1011
,124,1500000US421010033003,"Block Group 3, Census Tract 33, Philadelphia County, Pennsylvania",768
,125,1500000US421010033004,"Block Group 4, Census Tract 33, Philadelphia County, Pennsylvania",590
,126,1500000US421010033005,"Block Group 5, Census Tract 33, Philadelphia County, Pennsylvania",1043
,127,1500000US421010033006,"Block Group 6, Census Tract 33, Philadelphia County, Pennsylvania",953
,128,1500000US421010036001,"Block Group 1, Census Tract 36, Philadelphia County, Pennsylvania",1923
,129,1500000US421010036002,"Block Group 2, Census Tract 36, Philadelphia County, Pennsylvania",1157
,130,1500000US421010036003,"Block Group 3, Census Tract 36, Philadelphia County, Pennsylvania",2385
,131,1500000US421010036004,"Block Group 4, Census Tract 36, Philadelphia County, Pennsylvania",1258
,132,1500000US421010037011,"Block Group 1, Census Tract 37.01, Philadelphia County, Pennsylvania",1201
,133,1500000US421010037012,"Block Group 2, Census Tract 37.01, Philadelphia County, Pennsylvania",1044
,134,1500000US421010037013,"Block Group 3, Census Tract 37.01, Philadelphia County, Pennsylvania",1997
,135,1500000US421010037014,"Block Group 4, Census Tract 37.01, Philadelphia County, Pennsylvania",1383
,136,1500000US421010037015,"Block Group 5, Census Tract 37.01, Philadelphia County, Pennsylvania",984
,137,1500000US421010037021,"Block Group 1, Census Tract 37.02, Philadelphia County, Pennsylvania",1583
,138,1500000US421010037022,"Block Group 2, Census Tract 37.02, Philadelphia County, Pennsylvania",1472
,139,1500000US421010037023,"Block Group 3, Census Tract 37.02, Philadelphia County, Pennsylvania",652
,140,1500000US421010038001,"Block Group 1, Census Tract 38, Philadelphia County, Pennsylvania",983
,141,1500000US421010038002,"Block Group 2, Census Tract 38, Philadelphia County, Pennsylvania",973
,142,1500000US421010038003,"Block Group 3, Census Tract 38, Philadelphia County, Pennsylvania",981
,143,1500000US421010038004,"Block Group 4, Census Tract 38, Philadelphia County, Pennsylvania",961
,144,1500000US421010039011,"Block Group 1, Census Tract 39.01, Philadelphia County, Pennsylvania",1373
,145,1500000US421010039012,"Block Group 2, Census Tract 39.01, Philadelphia County, Pennsylvania",1262
,146,1500000US421010039013,"Block Group 3, Census Tract 39.01, Philadelphia County, Pennsylvania",1846
,147,1500000US421010039014,"Block Group 4, Census Tract 39.01, Philadelphia County, Pennsylvania",1581
,148,1500000US421010039021,"Block Group 1, Census Tract 39.02, Philadelphia County, Pennsylvania",1377
,149,1500000US421010039022,"Block Group 2, Census Tract 39.02, Philadelphia County, Pennsylvania",1045
,150,1500000US421010039023,"Block Group 3, Census Tract 39.02, Philadelphia County, Pennsylvania",1088
,151,1500000US421010039024,"Block Group 4, Census Tract 39.02, Philadelphia County, Pennsylvania",1997
,152,1500000US421010040011,"Block Group 1, Census Tract 40.01, Philadelphia County, Pennsylvania",1292
,153,1500000US421010040012,"Block Group 2, Census Tract 40.01, Philadelphia County, Pennsylvania",1277
,154,1500000US421010040013,"Block Group 3, Census Tract 40.01, Philadelphia County, Pennsylvania",750
,155,1500000US421010040014,"Block Group 4, Census Tract 40.01, Philadelphia County, Pennsylvania",940
,156,1500000US421010040021,"Block Group 1, Census Tract 40.02, Philadelphia County, Pennsylvania",1298
,157,1500000US421010040022,"Block Group 2, Census Tract 40.02, Philadelphia County, Pennsylvania",1500
,158,1500000US421010040023,"Block Group 3, Census Tract 40.02, Philadelphia County, Pennsylvania",1159
